City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Kidal,ML,18.4411,1.4078,97.21,11,4,10.2,clear sky
295,Udachnyy,RU,66.4167,112.4,43.59,57,29,6.11,scattered clouds
296,Antalaha,MG,-14.9003,50.2788,79.34,61,8,13.06,clear sky
297,Oktyabrskiy,RU,54.4815,53.471,53.01,52,100,7.65,overcast clouds
298,Kaeo,NZ,-35.1,173.7833,55.33,85,5,5.39,clear sky
299,Linxia,CN,35.6003,103.2064,66.6,56,53,7.65,broken clouds
300,Loukhi,RU,66.0764,33.0381,48.65,72,56,10.4,broken clouds
301,Kruisfontein,ZA,-34.0033,24.7314,80.13,30,88,9.62,overcast clouds
302,Bowen,AU,-20.0167,148.2333,71.94,74,0,12.15,clear sky
303,Saldanha,ZA,-33.0117,17.9442,62.65,63,59,7.49,broken clouds
304,Trofors,NO,65.5333,13.4063,51.15,97,100,4.54,light rain
305,Zhezkazgan,KZ,47.8043,67.7144,66.72,16,49,16.2,scattered clouds
306,The Valley,AI,18.217,-63.0578,82.26,75,8,8.34,clear sky
307,Mandalgovi,MN,45.7625,106.2708,65.28,46,64,18.72,broken clouds
308,Roald,NO,62.5833,6.1333,53.17,81,75,12.66,broken clouds
309,Igboho,NG,8.8333,3.75,78.4,80,62,4.74,broken clouds
310,Austin,US,30.2672,-97.7431,68.29,78,24,1.99,few clouds
311,Kuznechnoye,RU,61.12,29.8686,48.0,96,100,6.51,light rain
312,Seydi,TM,39.4816,62.9137,98.64,6,0,8.08,clear sky
313,Leninsk,RU,48.7119,45.1994,58.86,66,100,6.35,overcast clouds
314,Lavrentiya,RU,65.5833,-171.0,31.95,90,100,21.03,overcast clouds
315,Plainview,US,40.7765,-73.4673,61.75,89,1,0.0,clear sky
316,Murom,RU,55.5656,42.0417,53.24,58,95,8.46,overcast clouds
317,Gubkinskiy,RU,64.434,76.5026,41.94,56,40,16.17,scattered clouds
318,Kabwe,ZM,-14.4469,28.4464,84.04,22,0,9.42,clear sky
319,Sabang,ID,5.8933,95.3214,83.35,76,97,17.34,overcast clouds
320,Ulaangom,MN,49.9811,92.0667,50.36,23,81,8.14,broken clouds
321,Barentu,ER,15.1139,37.5928,84.4,46,51,6.42,broken clouds
322,Bend,US,44.0582,-121.3153,61.32,46,1,1.99,clear sky
323,Lafiagi,NG,8.8667,5.4167,83.01,75,72,2.64,broken clouds
324,Odweyne,SO,9.4092,45.064,85.62,32,61,18.54,broken clouds
325,Elk Point,US,42.6833,-96.6836,43.34,26,2,5.59,clear sky
326,Marrakesh,MA,31.6315,-8.0083,69.87,60,0,1.14,clear sky
327,Yumen,CN,40.2833,97.2,67.08,25,91,9.24,overcast clouds
328,Hrodna,BY,53.6884,23.8258,55.26,93,90,13.42,overcast clouds
329,Luderitz,NA,-26.6481,15.1594,68.61,53,11,15.01,few clouds
