City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Bend,US,61.32,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
323,Lafiagi,NG,83.01,broken clouds,8.8667,5.4167,Bus group international
324,Odweyne,SO,85.62,broken clouds,9.4092,45.064,Eng Hiirey House
326,Marrakesh,MA,69.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
330,Princeton,US,80.01,broken clouds,25.5384,-80.4089,American Best Inn
331,Carmen,MX,78.98,broken clouds,18.6333,-91.8333,Hotel Lossandes
334,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
335,Liwale,TZ,87.85,clear sky,-9.7667,37.9333,Samoma lodge
336,Gizo,SB,82.8,scattered clouds,-8.103,156.8419,Imagination Island
337,Nago,JP,84.27,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
339,Namibe,AO,70.43,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
340,Danielskuil,ZA,82.83,broken clouds,-28.1887,23.5395,Botha'Sig Gastehuis
341,Yenagoa,NG,76.17,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
342,Goderich,CA,61.12,broken clouds,43.7501,-81.7165,Harmony Inn
344,Horsham,GB,63.75,broken clouds,51.064,-0.3272,Springfields Hotel
345,Chateaubelair,VC,80.31,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
347,Saint-Leu,RE,78.57,scattered clouds,-21.15,55.2833,La Caz Oceane
348,Solwezi,ZM,83.71,clear sky,-12.1688,26.3894,Country Lodge Solwezi
349,Garowe,SO,80.89,overcast clouds,8.4054,48.4845,Curubo Hotel
351,Alenquer,BR,74.44,scattered clouds,-1.9417,-54.7383,Josilene Castro
353,Byron Bay,AU,73.36,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
354,Yuzhou,CN,63.97,overcast clouds,34.1628,113.4639,Hancheng Wen Yuan Ge Hotel
355,Eruwa,NG,80.74,overcast clouds,7.5333,3.4167,Yinka Hostel
356,Kisangani,CD,84.47,overcast clouds,0.5167,25.2,Grand Ramela Hotel
359,Hasaki,JP,70.2,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
362,Road Town,VG,81.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
368,Selma,US,75.6,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
371,Caborca,MX,73.65,overcast clouds,30.5838,-111.101,Hotel Los Lagos
372,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
374,Baruun-Urt,MN,69.98,moderate rain,46.6806,113.2792,Ахмадын амралт сувилал
375,Richards Bay,ZA,81.1,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
377,Sao Filipe,CV,78.08,few clouds,14.8961,-24.4956,Hotel Xaguate
378,Aksu,CN,80.83,clear sky,41.1231,80.2644,Pudong Holiday Hotel
379,Awbari,LY,89.13,clear sky,26.5921,12.7805,فندق أوباري
380,Barao De Melgaco,BR,75.45,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
384,Ferkessedougou,CI,78.66,light rain,9.6,-5.2,Hotel Chateau
385,Santa Isabel Do Rio Negro,BR,69.71,overcast clouds,-0.4139,-65.0192,Hotel GSA
386,Tangier,MA,70.95,scattered clouds,35.7806,-5.8137,Hotel Rembrandt
387,Marienburg,PL,63.84,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
388,Lubango,AO,81.3,clear sky,-14.9172,13.4925,Hotel Serra da Chela
392,Rosarito,MX,66.94,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
393,Carutapera,BR,76.53,broken clouds,-1.195,-46.02,Lidera
